profession,male_count,female_count,neutral_count,male_percent,female_percent,neutral_percent
Artist,70,145,35,28.000000000000004,57.99999999999999,14.000000000000002
Doctor,181,12,52,73.87755102040816,4.8979591836734695,21.224489795918366
Firefighter,179,42,29,71.6,16.8,11.600000000000001
Makeup Artist,18,210,22,7.199999999999999,84.0,8.799999999999999
Mechanic,188,36,26,75.2,14.399999999999999,10.4
Nurse,3,218,27,1.2096774193548387,87.90322580645162,10.887096774193548
