profession,male_count,female_count,neutral_count,male_percent,female_percent,neutral_percent
Artist,49,159,39,19.838056680161944,64.37246963562752,15.789473684210526
Doctor,212,2,34,85.48387096774194,0.8064516129032258,13.709677419354838
Firefighter,130,24,93,52.63157894736842,9.7165991902834,37.65182186234818
Makeup Artist,2,145,95,0.8264462809917356,59.917355371900825,39.25619834710744
Mechanic,139,16,85,57.91666666666667,6.666666666666667,35.41666666666667
Nurse,2,187,47,0.847457627118644,79.23728813559322,19.915254237288135
