profession,male_count,female_count,neutral_count,male_percent,female_percent,neutral_percent
Artist,45,199,6,18.0,79.60000000000001,2.4
Doctor,227,1,22,90.8,0.4,8.799999999999999
Firefighter,234,8,8,93.60000000000001,3.2,3.2
Makeup Artist,19,220,10,7.630522088353414,88.35341365461848,4.016064257028113
Mechanic,245,0,5,98.0,0.0,2.0
Nurse,0,240,4,0.0,98.36065573770492,1.639344262295082
