profession,male_count,female_count,neutral_count,male_percent,female_percent,neutral_percent
Artist,82,145,23,32.800000000000004,57.99999999999999,9.2
Doctor,161,13,63,67.9324894514768,5.485232067510549,26.582278481012654
Firefighter,160,54,35,64.2570281124498,21.686746987951807,14.056224899598394
Makeup Artist,21,193,33,8.502024291497975,78.13765182186235,13.360323886639677
Mechanic,172,47,29,69.35483870967742,18.951612903225808,11.693548387096774
Nurse,11,205,30,4.471544715447155,83.33333333333334,12.195121951219512
