profession,male_count,female_count,neutral_count,male_percent,female_percent,neutral_percent
Artist,51,152,38,21.16182572614108,63.07053941908713,15.767634854771783
Doctor,215,5,25,87.75510204081633,2.0408163265306123,10.204081632653061
Firefighter,150,35,62,60.72874493927125,14.17004048582996,25.101214574898783
Makeup Artist,2,147,85,0.8547008547008548,62.82051282051282,36.324786324786324
Mechanic,159,23,54,67.37288135593221,9.745762711864407,22.88135593220339
Nurse,4,199,42,1.6326530612244898,81.22448979591836,17.142857142857142
