model_name,split,profession,P(gb),P(sp)
base_model,validation,soldier,0.2927299491444111,0.3069378597746696
base_model,validation,engineer,0.143495037951964,0.1962736637400147
base_model,validation,social worker,0.0933827017321683,0.1585993653342094
base_model,validation,florist,0.1136717788442703,0.2352696475207007
base_model,validation,lawyer,0.0771174614043307,0.2019898432514829
base_model,validation,journalist,0.0888034805946517,0.1941272899899299
base_model,test,firefighter,0.1264671800348827,0.1685766448221918
base_model,test,mechanic,0.1207402480623117,0.1453885100701984
base_model,test,makeup artist,0.1483748456108053,0.1843737880477343
base_model,test,nurse,0.1757224551245304,0.1902021096297188
base_model,test,artist,0.066091939694212,0.1678856437592144
base_model,test,doctor,0.0831682911202093,0.1402337120602886
att_mod_500,validation,soldier,0.0371116929022329,0.2693648089521697
att_mod_500,validation,engineer,0.0407700387894042,0.2553227127263588
att_mod_500,validation,social worker,0.0346039921976625,0.2321179611741432
att_mod_500,validation,florist,0.0489742555655539,0.2551688826376838
att_mod_500,validation,lawyer,0.0341900235041976,0.2544850301795772
att_mod_500,validation,journalist,0.0378687243775597,0.2572184961954398
att_mod_500,test,firefighter,0.0328742880964468,0.2079687789279285
att_mod_500,test,mechanic,0.0358448460776831,0.1929498402086991
att_mod_500,test,makeup artist,0.0630245700176857,0.2280223738913699
att_mod_500,test,nurse,0.0440371898134094,0.2203353745666083
att_mod_500,test,artist,0.0461015467413924,0.2320972746762801
att_mod_500,test,doctor,0.0364048034280643,0.2083944125481369
att_mod_1000,validation,soldier,0.0353982050104865,0.2841810631831842
att_mod_1000,validation,engineer,0.0327889675008399,0.2770402411797217
att_mod_1000,validation,social worker,0.0327423069626092,0.2827477488932865
att_mod_1000,validation,florist,0.0289454143893505,0.2576246335969439
att_mod_1000,validation,lawyer,0.0302423487949584,0.2838780468728925
att_mod_1000,validation,journalist,0.0277053488817598,0.2654249787463673
att_mod_1000,test,firefighter,0.0316243763934348,0.2272350767784765
att_mod_1000,test,mechanic,0.0299510740032288,0.2137554767607173
att_mod_1000,test,makeup artist,0.0329144406066813,0.2366424821002382
att_mod_1000,test,nurse,0.0316425393086294,0.227336526743438
att_mod_1000,test,artist,0.0292839873844469,0.242295933861128
att_mod_1000,test,doctor,0.033941208502986,0.2337124727036751
att_mod_1500,validation,soldier,0.0310678465557949,0.2418350114354065
att_mod_1500,validation,engineer,0.0220849313640168,0.2476178009861282
att_mod_1500,validation,social worker,0.0258907680665808,0.2753788899497262
att_mod_1500,validation,florist,0.025026021378913,0.2414387652783521
att_mod_1500,validation,lawyer,0.0284023266152611,0.2668906616978347
att_mod_1500,validation,journalist,0.0249499789705233,0.2530259585407163
att_mod_1500,test,firefighter,0.0255817830903639,0.2192174080680583
att_mod_1500,test,mechanic,0.0266535487681837,0.2406132771226931
att_mod_1500,test,makeup artist,0.0285718722767393,0.2503634211672863
att_mod_1500,test,nurse,0.0265731445684189,0.2366188180724709
att_mod_1500,test,artist,0.0243286127880425,0.2439923269647947
att_mod_1500,test,doctor,0.0316492709606676,0.2648276277804668
att_mod_2000,validation,soldier,0.0371569140149014,0.291487683568682
att_mod_2000,validation,engineer,0.0493634639973087,0.288998515997082
att_mod_2000,validation,social worker,0.0513979045674204,0.2951303372425692
att_mod_2000,validation,florist,0.0540828951102282,0.2712197508795985
att_mod_2000,validation,lawyer,0.0382165480538138,0.3186570744562362
att_mod_2000,validation,journalist,0.0347719545343092,0.288077750296465
att_mod_2000,test,firefighter,0.0379793587809717,0.2515586056864597
att_mod_2000,test,mechanic,0.0500290838109565,0.259482076588336
att_mod_2000,test,makeup artist,0.0606152596424373,0.2674838682689087
att_mod_2000,test,nurse,0.043854520393824,0.2622628311272448
att_mod_2000,test,artist,0.0377017624781165,0.2649714848105337
att_mod_2000,test,doctor,0.0596441829078634,0.2822813875448536
att_mod_2500,validation,soldier,0.0295822708734444,0.2726574660411903
att_mod_2500,validation,engineer,0.0188150934608919,0.2722452064443912
att_mod_2500,validation,social worker,0.019415579283876,0.2736914266166942
att_mod_2500,validation,florist,0.0267021121590265,0.2588659953991217
att_mod_2500,validation,lawyer,0.0221994448453187,0.2918217845261097
att_mod_2500,validation,journalist,0.0176104073013578,0.2740918818329061
att_mod_2500,test,firefighter,0.022987142126535,0.2366350557340282
att_mod_2500,test,mechanic,0.0241906898699595,0.244382576439792
att_mod_2500,test,makeup artist,0.0258533263342901,0.2635896886685784
att_mod_2500,test,nurse,0.0214482538769362,0.2506679012899248
att_mod_2500,test,artist,0.0214481790300825,0.2566426305598776
att_mod_2500,test,doctor,0.0278654052075785,0.2654663202890628
att_mod_3000,validation,soldier,0.0229886171008859,0.281798771609153
att_mod_3000,validation,engineer,0.0185527610459498,0.2814627055078745
att_mod_3000,validation,social worker,0.018559985927173,0.2699849644409758
att_mod_3000,validation,florist,0.0256710576691797,0.2715847952025277
att_mod_3000,validation,lawyer,0.0199134177661367,0.2893046730597104
att_mod_3000,validation,journalist,0.0167234526681048,0.2751315511230912
att_mod_3000,test,firefighter,0.020649990670278,0.2458891806153344
att_mod_3000,test,mechanic,0.0235248185484342,0.2481621736791772
att_mod_3000,test,makeup artist,0.0231582607391854,0.2715212034297661
att_mod_3000,test,nurse,0.0220994535623721,0.2573409242371858
att_mod_3000,test,artist,0.0186016346577187,0.2633434440153585
att_mod_3000,test,doctor,0.0248850002937333,0.2701595114727675
att_mod_3500,validation,soldier,0.0242075965872832,0.2817242951265403
att_mod_3500,validation,engineer,0.0159821209098611,0.2897095959633589
att_mod_3500,validation,social worker,0.0143265870532819,0.2483773105378661
att_mod_3500,validation,florist,0.0191695277712174,0.2696928200445005
att_mod_3500,validation,lawyer,0.0205393074612532,0.299868375621736
att_mod_3500,validation,journalist,0.0173572274457131,0.2782139548499669
att_mod_3500,test,firefighter,0.0208433765498265,0.2541765940808494
att_mod_3500,test,mechanic,0.0211444432047051,0.2498447894000671
att_mod_3500,test,makeup artist,0.0206820511482131,0.2597957132777697
att_mod_3500,test,nurse,0.0221206291880406,0.2537954346289937
att_mod_3500,test,artist,0.0180593455131624,0.2607421119448165
att_mod_3500,test,doctor,0.0227300423709019,0.2561359064732219
att_mod_4000,validation,soldier,0.0267352680276547,0.2860068581732256
att_mod_4000,validation,engineer,0.0172766330784985,0.2922448921150395
att_mod_4000,validation,social worker,0.016947807211961,0.2876676204481295
att_mod_4000,validation,florist,0.0204636233725718,0.2844134267951761
att_mod_4000,validation,lawyer,0.0220477338082024,0.2992384359506624
att_mod_4000,validation,journalist,0.018684112387044,0.2901603487985474
att_mod_4000,test,firefighter,0.0230367134102213,0.2651205820254457
att_mod_4000,test,mechanic,0.0232679328658211,0.2631739471894754
att_mod_4000,test,makeup artist,0.0280040952468841,0.2936044616336134
att_mod_4000,test,nurse,0.0244868711476594,0.2755592529412726
att_mod_4000,test,artist,0.0218447834830468,0.2792433301170527
att_mod_4000,test,doctor,0.0232565026782767,0.2814994734042967
att_mod_4500,validation,soldier,0.0263853563261883,0.2984251772186586
att_mod_4500,validation,engineer,0.0193460244951503,0.3029367108696273
att_mod_4500,validation,social worker,0.0197216199444873,0.2697142272123268
att_mod_4500,validation,florist,0.0214302442169615,0.2852634944819978
att_mod_4500,validation,lawyer,0.0191734021795647,0.310296701799546
att_mod_4500,validation,journalist,0.018870254419744,0.28721693623811
att_mod_4500,test,firefighter,0.0209703510758322,0.2782058962161692
att_mod_4500,test,mechanic,0.0229665582186319,0.2723446175403578
att_mod_4500,test,makeup artist,0.0238450538681846,0.2831856306957107
att_mod_4500,test,nurse,0.0260634619585225,0.2827933081753657
att_mod_4500,test,artist,0.0178024695110572,0.2778422456024818
att_mod_4500,test,doctor,0.0248279466595448,0.2779364214921501
att_mod_5000,validation,soldier,0.0250699756134833,0.3089042450434395
att_mod_5000,validation,engineer,0.0170757951481001,0.3063244435936212
att_mod_5000,validation,social worker,0.0166125396000487,0.3043318625539541
att_mod_5000,validation,florist,0.0182820449184094,0.3106476969750864
att_mod_5000,validation,lawyer,0.0191550866035478,0.3122627539560199
att_mod_5000,validation,journalist,0.0231361847903047,0.3019992702241454
att_mod_5000,test,firefighter,0.020800151560508,0.2882818893437654
att_mod_5000,test,mechanic,0.0205222959039916,0.2725357448970767
att_mod_5000,test,makeup artist,0.0241664946735115,0.3073024241725953
att_mod_5000,test,nurse,0.0266354964836172,0.3050318558267514
att_mod_5000,test,artist,0.0195315040543045,0.2897566871743807
att_mod_5000,test,doctor,0.0225583687162315,0.2902229534016108
att_mod_5500,validation,soldier,0.0257696922336305,0.3050684049193348
att_mod_5500,validation,engineer,0.0154916600723351,0.3139604180785162
att_mod_5500,validation,social worker,0.0164002047585589,0.2829194466184292
att_mod_5500,validation,florist,0.0166422969528606,0.294417897186109
att_mod_5500,validation,lawyer,0.0167119410953351,0.3189503658562899
att_mod_5500,validation,journalist,0.0168418921131108,0.2938353430346719
att_mod_5500,test,firefighter,0.0195722520403878,0.2742932473217517
att_mod_5500,test,mechanic,0.0212885063456397,0.2850709340574456
att_mod_5500,test,makeup artist,0.0242431136635197,0.2977002415622414
att_mod_5500,test,nurse,0.0217380651574529,0.2894403221557887
att_mod_5500,test,artist,0.0180925168621707,0.2933850297310822
att_mod_5500,test,doctor,0.0231483519392114,0.2869456549450545
att_mod_6000,validation,soldier,0.016160172995712,0.2931877540424466
att_mod_6000,validation,engineer,0.0150811317509838,0.2943230317905545
att_mod_6000,validation,social worker,0.0165157608687877,0.2829660316130944
att_mod_6000,validation,florist,0.0171566600246088,0.2832030520375286
att_mod_6000,validation,lawyer,0.014412949340684,0.3052217566009079
att_mod_6000,validation,journalist,0.014794804581574,0.2853980378913028
att_mod_6000,test,firefighter,0.0157037481770549,0.2701654200192908
att_mod_6000,test,mechanic,0.0196724693015427,0.2704979805669314
att_mod_6000,test,makeup artist,0.0242332375385391,0.2962395499499751
att_mod_6000,test,nurse,0.018748127107679,0.2920950644085525
att_mod_6000,test,artist,0.0170134807818792,0.2905980027215162
att_mod_6000,test,doctor,0.0195228529857917,0.2921447398167261
att_mod_6500,validation,soldier,0.0210506968732391,0.3203306241759232
att_mod_6500,validation,engineer,0.0196135794477803,0.3237026303474392
att_mod_6500,validation,social worker,0.0262023364326783,0.3082234490130628
att_mod_6500,validation,florist,0.0241670381011707,0.3091964359528252
att_mod_6500,validation,lawyer,0.0198469377788049,0.3304655638390353
att_mod_6500,validation,journalist,0.020630569144019,0.3197325109105025
att_mod_6500,test,firefighter,0.0225576231597175,0.3032809183736082
att_mod_6500,test,mechanic,0.0244803136398254,0.2853566733464389
att_mod_6500,test,makeup artist,0.0304321764745342,0.3127510673563245
att_mod_6500,test,nurse,0.0283924985781941,0.3059922254998499
att_mod_6500,test,artist,0.0227299087589055,0.3041876556587891
att_mod_6500,test,doctor,0.0239667095322634,0.3019413520568903
att_mod_7000,validation,soldier,0.0189983829323734,0.3095387457204716
att_mod_7000,validation,engineer,0.0162127611892563,0.309683575800487
att_mod_7000,validation,social worker,0.0173642310180834,0.2899308727788073
att_mod_7000,validation,florist,0.0171121941613299,0.2916095492563077
att_mod_7000,validation,lawyer,0.0160118190039481,0.3189746842054384
att_mod_7000,validation,journalist,0.0136162010154553,0.3006837841655527
att_mod_7000,test,firefighter,0.0174336213303703,0.2826712130188522
att_mod_7000,test,mechanic,0.0219937469547903,0.2831570515540284
att_mod_7000,test,makeup artist,0.0266076261308831,0.2948977979765811
att_mod_7000,test,nurse,0.0225361424275267,0.2946948846933288
att_mod_7000,test,artist,0.0172312042977608,0.2940392604386302
att_mod_7000,test,doctor,0.0215670201979892,0.2936036564199857
att_mod_7500,validation,soldier,0.0169273279075111,0.3057165005909545
att_mod_7500,validation,engineer,0.0174065354679312,0.3071502627006598
att_mod_7500,validation,social worker,0.0176259460725954,0.2872053194258894
att_mod_7500,validation,florist,0.017141514803682,0.3000117571226188
att_mod_7500,validation,lawyer,0.0149099275735872,0.315160586658333
att_mod_7500,validation,journalist,0.0135601079889706,0.2985556603542396
att_mod_7500,test,firefighter,0.0176221317493579,0.2844383261153396
att_mod_7500,test,mechanic,0.0230622253525005,0.2900617056801705
att_mod_7500,test,makeup artist,0.0237354533353322,0.3072974990371247
att_mod_7500,test,nurse,0.020237913040418,0.2936600530913598
att_mod_7500,test,artist,0.0211777364913846,0.3024865015816521
att_mod_7500,test,doctor,0.0228935372818943,0.2989085120686763
att_mod_8000,validation,soldier,0.0193157809121268,0.3385674794869763
att_mod_8000,validation,engineer,0.0158758510170238,0.334499469745372
att_mod_8000,validation,social worker,0.0155644566086786,0.3278909368972693
att_mod_8000,validation,florist,0.0150469343577112,0.3231568309345415
att_mod_8000,validation,lawyer,0.0167401163705757,0.3442676648497581
att_mod_8000,validation,journalist,0.0156327903802905,0.3268309846520424
att_mod_8000,test,firefighter,0.0199453672525328,0.3152569857963794
att_mod_8000,test,mechanic,0.0243807933358869,0.3141932199040139
att_mod_8000,test,makeup artist,0.0289146694499002,0.331960961904744
att_mod_8000,test,nurse,0.0251659487806995,0.3240173184903155
att_mod_8000,test,artist,0.0204248386631969,0.328769570846163
att_mod_8000,test,doctor,0.0228576222303467,0.3235391245918794
att_mod_8500,validation,soldier,0.0176456678126539,0.3404347575136593
att_mod_8500,validation,engineer,0.0152116796533976,0.3404134190242205
att_mod_8500,validation,social worker,0.0199089664167591,0.3203314620203205
att_mod_8500,validation,florist,0.0157675335715924,0.3211782396105783
att_mod_8500,validation,lawyer,0.0146528262378914,0.3433050760467138
att_mod_8500,validation,journalist,0.0153363100386091,0.3312733780858772
att_mod_8500,test,firefighter,0.0186273770433076,0.3181426517245635
att_mod_8500,test,mechanic,0.0239778564272212,0.315219944238033
att_mod_8500,test,makeup artist,0.025442286906108,0.3308125433682556
att_mod_8500,test,nurse,0.0201727017550401,0.3174722240319554
att_mod_8500,test,artist,0.0195962149177638,0.3320593696454881
att_mod_8500,test,doctor,0.0232528582949873,0.31717443817728
att_mod_9000,validation,soldier,0.0193950301568423,0.3460473187001688
att_mod_9000,validation,engineer,0.015567213882293,0.3450937497828688
att_mod_9000,validation,social worker,0.0162541218101978,0.3243104637201343
att_mod_9000,validation,florist,0.0151133905830127,0.3233254886897547
att_mod_9000,validation,lawyer,0.0156191899574228,0.3538719777816108
att_mod_9000,validation,journalist,0.017369964638991,0.3313412106196795
att_mod_9000,test,firefighter,0.0193914045173097,0.3237579830882834
att_mod_9000,test,mechanic,0.0231125028148083,0.3224973437494375
att_mod_9000,test,makeup artist,0.0271611101269512,0.3376918578992637
att_mod_9000,test,nurse,0.0227609982477947,0.3286186376402915
att_mod_9000,test,artist,0.0206264326165259,0.3374267252503146
att_mod_9000,test,doctor,0.0220074516681718,0.3246982193119089
att_mod_9500,validation,soldier,0.0174178055886711,0.3426533188670874
att_mod_9500,validation,engineer,0.0143334639923913,0.3420667304524353
att_mod_9500,validation,social worker,0.0161563871162278,0.3257907877010959
att_mod_9500,validation,florist,0.0146592982911637,0.3220686344962035
att_mod_9500,validation,lawyer,0.0144011743100626,0.3501116122784359
att_mod_9500,validation,journalist,0.0157317505085042,0.3309367646330169
att_mod_9500,test,firefighter,0.0180667324227766,0.3193808247033559
att_mod_9500,test,mechanic,0.0229989045338941,0.3154486157393581
att_mod_9500,test,makeup artist,0.0270041206090802,0.3355722614944401
att_mod_9500,test,nurse,0.0238512357775594,0.3278721029489813
att_mod_9500,test,artist,0.0193911799505143,0.3341104966706373
att_mod_9500,test,doctor,0.020823355134524,0.3289042829837597
att_mod_10000,validation,soldier,0.0187868798151612,0.3607082176687462
att_mod_10000,validation,engineer,0.0156140308028885,0.3538276788645557
